No.,User Stories
1,"Là người dùng, tôi có thể đăng nhập vào ứng dụng"
2,"Là người dùng, tôi có thể đăng xuất khỏi ứng dụng"
3,"Là khách, tôi có thể đăng ký được tài khoản"
4,"Là người dùng, tôi có thể đổi mật khẩu"
5,"Là người dùng, tôi có thể làm bài thi"
6,"Là người dùng, tôi có thể xem kết quả bài thi"
7,"Là người quản lý bài thi, tôi có thể tạo bài thi mới"
8,"Là người quản lý bài thi, tôi có thể xem danh sách kết quả bài thi của những người dùng đã làm bài"
9,"Là người quản lý bài thi, tôi có thể xem thống kê các kết quả bài thi"
10,"Là người quản lý bài thi, tôi có thể thêm người dùng khác làm quản lý bài thi"
11,"Là người quản lý bài thi, tôi có thể thêm danh mục câu hỏi"
12,"Là người quản lý bài thi, tôi có thể xóa danh mục câu hỏi"
13,"Là người quản lý bài thi, tôi có thể tạo câu hỏi mới.( Câu hỏi có các loại sau: nhiều đáp án; đúng/sai; nhập văn bản;)"
14,"Là người quản lý bài thi, tôi có thể xóa câu hỏi"
15,"Là người quản lý bài thi, tôi có thể cập nhật câu hỏi"
16,"Là người quản lý bài thi, tôi có thể gán câu hỏi vào một danh mục"
17,"Là người quản lý bài thi, tôi có thể lọc danh sách các câu hỏi theo tiêu đề, loại câu hỏi, danh mục"
18,"Là người quản lý bài thi, tôi có thể gán câu hỏi vào một bài thi"
